Sexo;Edad;Periodo;Total
Total;Todas las edades;2072;52.886.369,803402
Total;Todas las edades;2071;52.843.554,692793
Total;Todas las edades;2070;52.809.199,270674
Total;Todas las edades;2069;52.783.141,423398
Total;Todas las edades;2068;52.765.081,231495
Total;Todas las edades;2067;52.754.632,504421
Total;Todas las edades;2066;52.751.175,375604
Total;Todas las edades;2065;52.754.139,469767
Total;Todas las edades;2064;52.762.777,808869
Total;Todas las edades;2063;52.776.069,754517
Total;Todas las edades;2062;52.793.171,219524
Total;Todas las edades;2061;52.813.109,247141
Total;Todas las edades;2060;52.834.811,391389
Total;Todas las edades;2059;52.856.958,090138
Total;Todas las edades;2058;52.878.224,909499
Total;Todas las edades;2057;52.897.208,980285
Total;Todas las edades;2056;52.912.450,506217
Total;Todas las edades;2055;52.922.724,956039
Total;Todas las edades;2054;52.926.772,162294
Total;Todas las edades;2053;52.923.530,200606
Total;Todas las edades;2052;52.911.963,757426
Total;Todas las edades;2051;52.891.206,868777
Total;Todas las edades;2050;52.860.818,041462
Total;Todas las edades;2049;52.820.523,315562
Total;Todas las edades;2048;52.770.064,347654
Total;Todas las edades;2047;52.709.245,330119
Total;Todas las edades;2046;52.638.481,937458
Total;Todas las edades;2045;52.558.328,464034
Total;Todas las edades;2044;52.469.220,286567
Total;Todas las edades;2043;52.371.937,67695
Total;Todas las edades;2042;52.267.236,80226
Total;Todas las edades;2041;52.156.326,027559
Total;Todas las edades;2040;52.040.306,114026
Total;Todas las edades;2039;51.919.499,619139
Total;Todas las edades;2038;51.795.514,168843
Total;Todas las edades;2037;51.669.140,414939
Total;Todas las edades;2036;51.540.953,120023
Total;Todas las edades;2035;51.397.897,851242
Total;Todas las edades;2034;51.231.673,121938
Total;Todas las edades;2033;51.038.408,437945
Total;Todas las edades;2032;50.818.638,054777
Total;Todas las edades;2031;50.571.688,633801
Total;Todas las edades;2030;50.297.957,499406
Total;Todas las edades;2029;49.996.160,315615
Total;Todas las edades;2028;49.669.416,468719
Total;Todas las edades;2027;49.321.596,890418
Total;Todas las edades;2026;48.954.761,722429
Total;Todas las edades;2025;48.574.152,092881
Total;Todas las edades;2024;48.186.420,95798
Total;Todas las edades;2023;47.795.624,788453
Total;Todas las edades;2022;47.432.805,023294
Total;0 años;2072;396.911,159843
Total;0 años;2071;394.646,800163
Total;0 años;2070;392.144,915615
Total;0 años;2069;389.445,044083
Total;0 años;2068;386.592,945196
Total;0 años;2067;383.642,137309
Total;0 años;2066;380.649,696103
Total;0 años;2065;377.681,980216
Total;0 años;2064;374.814,747472
Total;0 años;2063;372.140,119844
Total;0 años;2062;369.759,81768
Total;0 años;2061;367.775,197572
Total;0 años;2060;366.295,543762
Total;0 años;2059;365.427,68829
Total;0 años;2058;365.245,610405
Total;0 años;2057;365.798,77342
Total;0 años;2056;367.108,311607
Total;0 años;2055;369.166,612715
Total;0 años;2054;371.930,087903
Total;0 años;2053;375.298,176698
Total;0 años;2052;379.150,963116
Total;0 años;2051;383.342,770322
Total;0 años;2050;387.735,732865
Total;0 años;2049;392.168,169741
Total;0 años;2048;396.479,515665
Total;0 años;2047;400.513,375184
Total;0 años;2046;404.092,477088
Total;0 años;2045;407.057,473484
Total;0 años;2044;409.315,166146
Total;0 años;2043;410.754,733016
Total;0 años;2042;411.287,158581
Total;0 años;2041;410.953,257822
Total;0 años;2040;409.811,597352
Total;0 años;2039;407.970,594726
Total;0 años;2038;405.546,460825
Total;0 años;2037;402.713,570427
Total;0 años;2036;397.962,329338
Total;0 años;2035;392.882,107402
Total;0 años;2034;387.496,129185
Total;0 años;2033;381.920,35271
Total;0 años;2032;376.304,545263
Total;0 años;2031;370.703,831165
Total;0 años;2030;365.182,669328
Total;0 años;2029;359.777,090362
Total;0 años;2028;354.576,608885
Total;0 años;2027;349.667,781247
Total;0 años;2026;345.170,194073
Total;0 años;2025;341.287,93393
Total;0 años;2024;338.219,687778
Total;0 años;2023;336.156,335818
Total;0 años;2022;336.996
Total;1 año;2072;399.765,591372
Total;1 año;2071;397.253,188811
Total;1 año;2070;394.543,438547
Total;1 año;2069;391.681,985138
Total;1 año;2068;388.722,183486
Total;1 año;2067;385.720,996666
Total;1 año;2066;382.744,575054
Total;1 año;2065;379.868,457323
Total;1 año;2064;377.184,475762
Total;1 año;2063;374.794,011879
Total;1 año;2062;372.798,092666
Total;1 año;2061;371.305,609488
Total;1 año;2060;370.423,096048
Total;1 año;2059;370.224,292867
Total;1 año;2058;370.758,545107
Total;1 año;2057;372.046,96502
Total;1 año;2056;374.082,010686
Total;1 año;2055;376.820,285398
Total;1 año;2054;380.161,561778
Total;1 año;2053;383.986,346328
Total;1 año;2052;388.149,380515
Total;1 año;2051;392.513,174979
Total;1 año;2050;396.916,466059
Total;1 año;2049;401.199,077737
Total;1 año;2048;405.204,972772
Total;1 año;2047;408.757,243076
Total;1 año;2046;411.696,889234
Total;1 año;2045;413.930,803981
Total;1 año;2044;415.348,340817
Total;1 año;2043;415.860,618584
Total;1 año;2042;415.508,237929
Total;1 año;2041;414.349,569663
Total;1 año;2040;412.492,728367
Total;1 año;2039;410.053,678752
Total;1 año;2038;407.206,394933
Total;1 año;2037;402.445,121615
Total;1 año;2036;397.621,081659
Total;1 año;2035;392.651,211858
Total;1 año;2034;387.571,477341
Total;1 año;2033;382.451,545242
Total;1 año;2032;377.366,389855
Total;1 año;2031;372.360,292092
Total;1 año;2030;367.495,818552
Total;1 año;2029;362.775,515841
Total;1 año;2028;358.272,030849
Total;1 año;2027;354.123,849919
Total;1 año;2026;350.452,886416
Total;1 año;2025;347.417,558943
Total;1 año;2024;345.261,708522
Total;1 año;2023;345.906,354255
Total;1 año;2022;345.229
Total;2 años;2072;402.274,787957
Total;2 años;2071;399.556,512746
Total;2 años;2070;396.687,024157
Total;2 años;2069;393.719,52549
Total;2 años;2068;390.710,796417
Total;2 años;2067;387.726,837191
Total;2 años;2066;384.842,934689
Total;2 años;2065;382.150,63084
Total;2 años;2064;379.750,973555
Total;2 años;2063;377.744,644537
Total;2 años;2062;376.240,16758
Total;2 años;2061;375.343,6938
Total;2 años;2060;375.128,781425
Total;2 años;2059;375.644,630109
Total;2 años;2058;376.912,344679
Total;2 años;2057;378.924,477904
Total;2 años;2056;381.637,84667
Total;2 años;2055;384.952,631633
Total;2 años;2054;388.749,753168
Total;2 años;2053;392.884,478964
Total;2 años;2052;397.219,715948
Total;2 años;2051;401.594,65556
Total;2 años;2050;405.849,532225
Total;2 años;2049;409.828,677211
Total;2 años;2048;413.355,596618
Total;2 años;2047;416.271,58032
Total;2 años;2046;418.483,646213
Total;2 años;2045;419.881,275254
Total;2 años;2044;420.375,676213
Total;2 años;2043;420.007,170722
Total;2 años;2042;418.833,84931
Total;2 años;2041;416.963,465214
Total;2 años;2040;414.511,659216
Total;2 años;2039;411.651,987328
Total;2 años;2038;406.882,5389
Total;2 años;2037;402.046,753698
Total;2 años;2036;397.325,508259
Total;2 años;2035;392.649,738262
Total;2 años;2034;388.010,253984
Total;2 años;2033;383.402,825241
Total;2 años;2032;378.890,969639
Total;2 años;2031;374.517,060069
Total;2 años;2030;370.310,483197
Total;2 años;2029;366.259,276056
Total;2 años;2028;362.488,619344
Total;2 años;2027;359.141,362232
Total;2 años;2026;356.298,730984
Total;2 años;2025;354.166,365582
Total;2 años;2024;354.745,001828
Total;2 años;2023;354.013,363767
Total;2 años;2022;366.740
Total;3 años;2072;404.275,381313
Total;3 años;2071;401.400,387273
Total;3 años;2070;398.427,677458
Total;3 años;2069;395.413,843735
Total;3 años;2068;392.424,640352
Total;3 años;2067;389.535,145948
Total;3 años;2066;386.836,549385
Total;3 años;2065;384.429,531327
Total;3 años;2064;382.414,406641
Total;3 años;2063;380.899,283757
Total;3 años;2062;379.989,916748
Total;3 años;2061;379.759,586336
Total;3 años;2060;380.257,40075
Total;3 años;2059;381.504,429739
Total;3 años;2058;383.493,342691
Total;3 años;2057;386.181,217754
Total;3 años;2056;389.468,711847
Total;3 años;2055;393.237,275445
Total;3 años;2054;397.342,736237
Total;3 años;2053;401.648,549851
Total;3 años;2052;405.994,431533
Total;3 años;2051;410.221,101216
Total;3 años;2050;414.173,316394
Total;3 años;2049;417.675,057259
Total;3 años;2048;420.567,989068
Total;3 años;2047;422.759,193476
Total;3 años;2046;424.138,345945
Total;3 años;2045;424.616,709982
Total;3 años;2044;424.234,239279
Total;3 años;2043;423.048,654302
Total;3 años;2042;421.167,228488
Total;3 años;2041;418.705,177425
Total;3 años;2040;415.835,506168
Total;3 años;2039;411.060,665666
Total;3 años;2038;406.215,00464
Total;3 años;2037;401.477,098174
Total;3 años;2036;397.033,953775
Total;3 años;2035;392.774,576686
Total;3 años;2034;388.617,950182
Total;3 años;2033;384.550,765371
Total;3 años;2032;380.633,470422
Total;3 años;2031;376.876,958439
Total;3 años;2030;373.295,081461
Total;3 años;2029;369.932,937463
Total;3 años;2028;366.923,030104
Total;3 años;2027;364.368,927115
Total;3 años;2026;362.404,982019
Total;3 años;2025;363.029,724456
Total;3 años;2024;362.383,963066
Total;3 años;2023;375.022,613517
Total;3 años;2022;384.949
Total;4 años;2072;405.868,075836
Total;4 años;2071;402.891,629962
Total;4 años;2070;399.874,075408
Total;4 años;2069;396.880,915336
Total;4 años;2068;393.986,918419
Total;4 años;2067;391.282,970586
Total;4 años;2066;388.869,32832
Total;4 años;2065;386.845,9135
Total;4 años;2064;385.320,407455
Total;4 años;2063;384.398,13589
Total;4 años;2062;384.152,113634
Total;4 años;2061;384.631,274401
Total;4 años;2060;385.856,730552
Total;4 años;2059;387.821,254152
Total;4 años;2058;390.482,216147
Total;4 años;2057;393.740,817936
Total;4 años;2056;397.479,108452
Total;4 años;2055;401.553,5919
Total;4 años;2054;405.828,282061
Total;4 años;2053;410.143,577713
Total;4 años;2052;414.340,741754
Total;4 años;2051;418.265,014975
Total;4 años;2050;421.740,906816
Total;4 años;2049;424.610,500453
Total;4 años;2048;426.780,991894
Total;4 años;2047;428.142,185723
Total;4 años;2046;428.605,45984
Total;4 años;2045;428.210,310875
Total;4 años;2044;427.013,995302
Total;4 años;2043;425.123,204325
Total;4 años;2042;422.652,618069
Total;4 años;2041;419.774,573096
Total;4 años;2040;414.996,263047
Total;4 años;2039;410.141,950947
Total;4 años;2038;405.387,608724
Total;4 años;2037;400.918,687997
Total;4 años;2036;396.871,323254
Total;4 años;2035;393.065,523918
Total;4 años;2034;389.413,424943
Total;4 años;2033;385.901,352329
Total;4 años;2032;382.558,44207
Total;4 años;2031;379.381,07776
Total;4 años;2030;376.438,890907
Total;4 años;2029;373.791,421348
Total;4 años;2028;371.534,293863
Total;4 años;2027;369.823,633912
Total;4 años;2026;370.626,949993
Total;4 años;2025;370.177,595594
Total;4 años;2024;382.847,185598
Total;4 años;2023;392.593,083748
Total;4 años;2022;411.364
Total;5 años;2072;407.096,84008
Total;5 años;2071;404.076,587679
Total;5 años;2070;401.080,370655
Total;5 años;2069;398.182,640485
Total;5 años;2068;395.473,872365
Total;5 años;2067;393.053,956578
Total;5 años;2066;391.022,375645
Total;5 años;2065;389.486,357922
Total;5 años;2064;388.550,800799
Total;5 años;2063;388.288,44805
Total;5 años;2062;388.748,083817
Total;5 años;2061;389.950,789556
Total;5 años;2060;391.889,534694
Total;5 años;2059;394.521,983277
Total;5 años;2058;397.749,925072
Total;5 años;2057;401.456,075174
Total;5 años;2056;405.497,687418
Total;5 años;2055;409.739,436096
Total;5 años;2054;414.022,407542
Total;5 años;2053;418.188,563094
Total;5 años;2052;422.083,676812
Total;5 años;2051;425.532,837524
Total;5 años;2050;428.378,583823
Total;5 años;2049;430.528,240253
Total;5 años;2048;431.871,792728
Total;5 años;2047;432.320,649335
Total;5 años;2046;431.913,866596
Total;5 años;2045;430.708,150183
Total;5 años;2044;428.809,498959
Total;5 años;2043;426.331,960551
Total;5 años;2042;423.447,083079
Total;5 años;2041;418.667,136291
Total;5 años;2040;413.805,447947
Total;5 años;2039;409.035,216104
Total;5 años;2038;404.540,191444
Total;5 años;2037;400.455,849545
Total;5 años;2036;396.836,797182
Total;5 años;2035;393.499,96314
Total;5 años;2034;390.360,135609
Total;5 años;2033;387.377,346536
Total;5 años;2032;384.565,331973
Total;5 años;2031;381.977,417772
Total;5 años;2030;379.698,034355
Total;5 años;2029;377.757,16191
Total;5 años;2028;376.303,449912
Total;5 años;2027;377.358,021193
Total;5 años;2026;377.223,944166
Total;5 años;2025;390.015,670024
Total;5 años;2024;399.685,227306
Total;5 años;2023;418.255,553847
Total;5 años;2022;434.157,091955
Total;6 años;2072;408.078,314455
Total;6 años;2071;405.079,159206
Total;6 años;2070;402.177,686042
Total;6 años;2069;399.463,95531
Total;6 años;2068;397.037,391654
Total;6 años;2067;394.997,112602
Total;6 años;2066;393.449,86412
Total;6 años;2065;392.500,100224
Total;6 años;2064;392.220,317249
Total;6 años;2063;392.659,165055
Total;6 años;2062;393.837,727828
Total;6 años;2061;395.749,102586
Total;6 años;2060;398.351,347277
Total;6 años;2059;401.546,846233
Total;6 años;2058;405.219,004224
Total;6 años;2057;409.225,8773
Total;6 años;2056;413.432,853283
Total;6 años;2055;417.681,790711
Total;6 años;2054;421.815,327171
Total;6 años;2053;425.679,907624
Total;6 años;2052;429.101,241318
Total;6 años;2051;431.922,342465
Total;6 años;2050;434.050,67113
Total;6 años;2049;435.376,411104
Total;6 años;2048;435.811,037901
Total;6 años;2047;435.393,050647
Total;6 años;2046;434.178,634465
Total;6 años;2045;432.273,019951
Total;6 años;2044;429.789,525946
Total;6 años;2043;426.898,824487
Total;6 años;2042;422.118,440744
Total;6 años;2041;417.250,347061
Total;6 años;2040;412.464,850497
Total;6 años;2039;407.943,976098
Total;6 años;2038;403.822,49641
Total;6 años;2037;400.154,673093
Total;6 años;2036;396.978,814194
Total;6 años;2035;394.118,456767
Total;6 años;2034;391.466,642999
Total;6 años;2033;388.972,294502
Total;6 años;2032;386.705,067291
Total;6 años;2031;384.736,044444
Total;6 años;2030;383.119,549159
Total;6 años;2029;381.943,682505
Total;6 años;2028;383.251,664071
Total;6 años;2027;383.488,547436
Total;6 años;2026;396.501,601789
Total;6 años;2025;406.177,236916
Total;6 años;2024;424.641,712293
Total;6 años;2023;440.350,831782
Total;6 años;2022;446.085,181555
Total;7 años;2072;408.916,96621
Total;7 años;2071;406.011,277756
Total;7 años;2070;403.291,996584
Total;7 años;2069;400.858,080899
Total;7 años;2068;398.808,193465
Total;7 años;2067;397.248,679875
Total;7 años;2066;396.283,536455
Total;7 años;2065;395.985,00331
Total;7 años;2064;396.401,627353
Total;7 años;2063;397.554,521392
Total;7 años;2062;399.436,941436
Total;7 años;2061;402.007,268131
Total;7 años;2060;405.168,57914
Total;7 años;2059;408.804,968109
Total;7 años;2058;412.775,298699
Total;7 años;2057;416.945,707383
Total;7 años;2056;421.158,871246
Total;7 años;2055;425.258,169275
Total;7 años;2054;429.090,679626
Total;7 años;2053;432.482,860403
Total;7 años;2052;435.278,233056
Total;7 años;2051;437.384,390647
Total;7 años;2050;438.691,720487
Total;7 años;2049;439.111,78066
Total;7 años;2048;438.682,531707
Total;7 años;2047;437.459,530261
Total;7 años;2046;435.547,276479
Total;7 años;2045;433.058,305413
Total;7 años;2044;430.162,322007
Total;7 años;2043;425.382,203531
Total;7 años;2042;420.508,445212
Total;7 años;2041;415.708,443353
Total;7 años;2040;411.162,447059
Total;7 años;2039;407.004,538424
Total;7 años;2038;403.288,623295
Total;7 años;2037;400.052,954095
Total;7 años;2036;397.329,087668
Total;7 años;2035;394.924,101972
Total;7 años;2034;392.723,659972
Total;7 años;2033;390.736,720123
Total;7 años;2032;389.051,295339
Total;7 años;2031;387.710,34129
Total;7 años;2030;386.823,956371
Total;7 años;2029;388.404,543235
Total;7 años;2028;389.000,84077
Total;7 años;2027;402.283,050385
Total;7 años;2026;412.062,394601
Total;7 años;2025;430.493,760516
Total;7 años;2024;446.095,65622
Total;7 años;2023;451.758,673064
Total;7 años;2022;452.922,293356
Total;8 años;2072;409.737,24092
Total;8 años;2071;407.011,563548
Total;8 años;2070;404.569,373679
Total;8 años;2069;402.508,883069
Total;8 años;2068;400.935,958219
Total;8 años;2067;399.954,226256
Total;8 años;2066;399.635,669612
Total;8 años;2065;400.028,722152
Total;8 años;2064;401.154,557518
Total;8 años;2063;403.006,620358
Total;8 años;2062;405.543,63658
Total;8 años;2061;408.669,298015
Total;8 años;2060;412.268,471295
Total;8 años;2059;416.200,817307
Total;8 años;2058;420.333,20536
Total;8 años;2057;424.509,150928
Total;8 años;2056;428.572,809964
Total;8 años;2055;432.371,939981
Total;8 años;2054;435.733,697483
Total;8 años;2053;438.502,224087
Total;8 años;2052;440.585,271971
Total;8 años;2051;441.873,420195
Total;8 años;2050;442.278,309245
Total;8 años;2049;441.837,378638
Total;8 años;2048;440.605,580887
Total;8 años;2047;438.686,591528
Total;8 años;2046;436.192,213866
Total;8 años;2045;433.291,15329
Total;8 años;2044;428.511,594947
Total;8 años;2043;423.632,694907
Total;8 años;2042;418.819,007576
Total;8 años;2041;414.248,999622
Total;8 años;2040;410.056,017433
Total;8 años;2039;406.293,639421
Total;8 años;2038;403.000,057881
Total;8 años;2037;400.207,014466
Total;8 años;2036;397.918,469821
Total;8 años;2035;395.938,206762
Total;8 años;2034;394.215,218114
Total;8 años;2033;392.781,900685
Total;8 años;2032;391.697,98215
Total;8 años;2031;391.062,309739
Total;8 años;2030;392.927,974387
Total;8 años;2029;393.889,829527
Total;8 años;2028;407.433,935458
Total;8 años;2027;417.375,655102
Total;8 años;2026;435.863,96933
Total;8 años;2025;451.427,361099
Total;8 años;2024;457.091,92696
Total;8 años;2023;458.304,435147
Total;8 años;2022;448.098,365152
Total;9 años;2072;410.670,833143
Total;9 años;2071;408.219,359227
Total;9 años;2070;406.147,233208
Total;9 años;2069;404.559,850163
Total;9 años;2068;403.560,399374
Total;9 años;2067;403.220,691761
Total;9 años;2066;403.589,05149
Total;9 años;2065;404.686,6958
Total;9 años;2064;406.507,284065
Total;9 años;2063;409.009,913251
Total;9 años;2062;412.098,894605
Total;9 años;2061;415.659,777573
Total;9 años;2060;419.553,086956
Total;9 años;2059;423.646,407187
Total;9 años;2058;427.784,057896
Total;9 años;2057;431.810,978206
Total;9 años;2056;435.575,633138
Total;9 años;2055;438.905,906418
Total;9 años;2054;441.646,501313
Total;9 años;2053;443.705,435614
Total;9 años;2052;444.973,505912
Total;9 años;2051;445.362,416777
Total;9 años;2050;444.909,095329
Total;9 años;2049;443.667,921281
Total;9 años;2048;441.741,778807
Total;9 años;2047;439.241,662526
Total;9 años;2046;436.335,345469
Total;9 años;2045;431.556,221929
Total;9 años;2044;426.672,401119
Total;9 años;2043;421.845,698027
Total;9 años;2042;417.252,843931
Total;9 años;2041;413.026,414209
Total;9 años;2040;409.219,623806
Total;9 años;2039;405.870,622596
Total;9 años;2038;403.011,327114
Total;9 años;2037;400.647,006916
Total;9 años;2036;398.767,943482
Total;9 años;2035;397.244,711339
Total;9 años;2034;396.053,830502
Total;9 años;2033;395.203,129848
Total;9 años;2032;394.806,711513
Total;9 años;2031;396.923,132339
Total;9 años;2030;398.251,303014
Total;9 años;2029;412.071,042192
Total;9 años;2028;422.185,957493
Total;9 años;2027;440.789,583573
Total;9 años;2026;456.401,370136
Total;9 años;2025;462.124,502971
Total;9 años;2024;463.446,06714
Total;9 años;2023;453.429,429462
Total;9 años;2022;472.123,480217
Total;10 años;2072;411.859,810331
Total;10 años;2071;409.775,008917
Total;10 años;2070;408.172,165487
Total;10 años;2069;407.154,040416
Total;10 años;2068;406.792,20564
Total;10 años;2067;407.134,953417
Total;10 años;2066;408.203,545936
Total;10 años;2065;409.991,829557
Total;10 años;2064;412.459,286444
Total;10 años;2063;415.510,859526
Total;10 años;2062;419.032,771488
Total;10 años;2061;422.886,3103
Total;10 años;2060;426.939,830669
Total;10 años;2059;431.038,429893
Total;10 años;2058;435.027,784584
Total;10 años;2057;438.757,064708
Total;10 años;2056;442.054,900912
Total;10 años;2055;444.766,577793
Total;10 años;2054;446.800,326946
Total;10 años;2053;448.047,258962
Total;10 años;2052;448.419,17187
Total;10 años;2051;447.952,477541
Total;10 años;2050;446.700,999408
Total;10 años;2049;444.766,878291
Total;10 años;2048;442.260,339437
Total;10 años;2047;439.348,169125
Total;10 años;2046;434.568,864561
Total;10 años;2045;429.679,94907
Total;10 años;2044;424.840,587364
Total;10 años;2043;420.225,827964
Total;10 años;2042;415.967,484887
Total;10 años;2041;412.118,37127
Total;10 años;2040;408.716,548288
Total;10 años;2039;405.794,109776
Total;10 años;2038;403.357,553924
Total;10 años;2037;401.398,593594
Total;10 años;2036;399.966,18077
Total;10 años;2035;398.962,1817
Total;10 años;2034;398.341,319285
Total;10 años;2033;398.167,39446
Total;10 años;2032;400.526,388539
Total;10 años;2031;402.179,394717
Total;10 años;2030;416.286,263886
Total;10 años;2029;426.605,764638
Total;10 años;2028;445.341,526062
Total;10 años;2027;461.062,416359
Total;10 años;2026;466.919,654967
Total;10 años;2025;468.392,893971
Total;10 años;2024;458.604,883348
Total;10 años;2023;477.352,530923
Total;10 años;2022;489.169,730855
Total;11 años;2072;413.447,049
Total;11 años;2071;411.827,804789
Total;11 años;2070;410.790,16323
Total;11 años;2069;410.405,458465
Total;11 años;2068;410.721,882235
Total;11 años;2067;411.760,806602
Total;11 años;2066;413.516,259777
Total;11 años;2065;415.948,068321
Total;11 años;2064;418.961,801006
Total;11 años;2063;422.444,356695
Total;11 años;2062;426.257,762625
Total;11 años;2061;430.271,041128
Total;11 años;2060;434.330,107341
Total;11 años;2059;438.281,345502
Total;11 años;2058;441.974,579116
Total;11 años;2057;445.239,171994
Total;11 años;2056;447.921,008944
Total;11 años;2055;449.928,56121
Total;11 años;2054;451.153,198748
Total;11 años;2053;451.506,905788
Total;11 años;2052;451.025,634393
Total;11 años;2051;449.762,654582
Total;11 años;2050;447.819,393695
Total;11 años;2049;445.305,364269
Total;11 años;2048;442.386,419302
Total;11 años;2047;437.605,85883
Total;11 años;2046;432.711,212336
Total;11 años;2045;427.859,14132
Total;11 años;2044;423.223,041633
Total;11 años;2043;418.933,969797
Total;11 años;2042;415.044,340223
Total;11 años;2041;411.592,075073
Total;11 años;2040;408.609,390435
Total;11 años;2039;406.103,943637
Total;11 años;2038;404.068,792775
Total;11 años;2037;402.554,168413
Total;11 años;2036;401.636,072258
Total;11 años;2035;401.196,774314
Total;11 años;2034;401.247,798054
Total;11 años;2033;403.836,316877
Total;11 años;2032;405.800,032644
Total;11 años;2031;420.165,447772
Total;11 años;2030;430.718,402989
Total;11 años;2029;449.624,668338
Total;11 años;2028;465.477,920693
Total;11 años;2027;471.523,232214
Total;11 años;2026;473.212,354008
Total;11 años;2025;463.683,883043
Total;11 años;2024;482.527,966236
Total;11 años;2023;494.382,386095
Total;11 años;2022;493.787,595104
Total;12 años;2072;415.618,684898
Total;12 años;2071;414.560,622204
Total;12 años;2070;414.152,3014
Total;12 años;2069;414.441,808448
Total;12 años;2068;415.450,552352
Total;12 años;2067;417.172,792701
Total;12 años;2066;419.568,682826
Total;12 años;2065;422.544,355961
Total;12 años;2064;425.987,367999
Total;12 años;2063;429.760,474148
Total;12 años;2062;433.733,336202
Total;12 años;2061;437.752,575151
Total;12 años;2060;441.665,312376
Total;12 años;2059;445.321,991572
Total;12 años;2058;448.552,648011
Total;12 años;2057;451.203,750505
Total;12 años;2056;453.184,04049
Total;12 años;2055;454.385,163933
Total;12 años;2054;454.719,242471
Total;12 años;2053;454.221,885467
Total;12 años;2052;452.945,872152
Total;12 años;2051;450.991,935906
Total;12 años;2050;448.468,913902
Total;12 años;2049;445.541,802246
Total;12 años;2048;440.758,41553
Total;12 años;2047;435.856,835029
Total;12 años;2046;430.991,417221
Total;12 años;2045;426.333,999036
Total;12 años;2044;422.014,866236
Total;12 años;2043;418.086,027819
Total;12 años;2042;414.585,260889
Total;12 años;2041;411.544,845815
Total;12 años;2040;408.973,485985
Total;12 años;2039;406.865,508836
Total;12 años;2038;405.272,350484
Total;12 años;2037;404.271,896997
Total;12 años;2036;403.920,29329
Total;12 años;2035;404.156,219615
Total;12 años;2034;406.982,948074
Total;12 años;2033;409.242,807114
Total;12 años;2032;423.867,912177
Total;12 años;2031;434.644,956893
Total;12 años;2030;453.762,592847
Total;12 años;2029;469.796,336838
Total;12 años;2028;476.052,171116
Total;12 años;2027;478.006,490103
Total;12 años;2026;468.794,869917
Total;12 años;2025;487.775,711453
Total;12 años;2024;499.715,174298
Total;12 años;2023;499.151,272288
Total;12 años;2022;503.582,487539
Total;13 años;2072;418.602,983416
Total;13 años;2071;418.169,951164
Total;13 años;2070;418.431,645245
Total;13 años;2069;419.409,497135
Total;13 años;2068;421.097,917838
Total;13 años;2067;423.457,416974
Total;13 años;2066;426.394,651226
Total;13 años;2065;429.797,763564
Total;13 años;2064;433.530,20292
Total;13 años;2063;437.462,254889
Total;13 años;2062;441.441,206647
Total;13 años;2061;445.314,804783
Total;13 años;2060;448.934,136254
Total;13 años;2059;452.129,864574
Total;13 años;2058;454.748,985917
Total;13 años;2057;456.700,511711
Total;13 años;2056;457.876,385441
Total;13 años;2055;458.188,886995
Total;13 años;2054;457.673,274137
Total;13 años;2053;456.381,952129
Total;13 años;2052;454.415,037008
Total;13 años;2051;451.880,717609
Total;13 años;2050;448.943,189237
Total;13 años;2049;444.154,455914
Total;13 años;2048;439.243,811329
Total;13 años;2047;434.363,389528
Total;13 años;2046;429.683,609822
Total;13 años;2045;425.334,033123
Total;13 años;2044;421.366,236862
Total;13 años;2043;417.817,834529
Total;13 años;2042;414.721,15587
Total;13 años;2041;412.085,840283
Total;13 años;2040;409.907,369935
Total;13 años;2039;408.238,323057
Total;13 años;2038;407.158,363627
Total;13 años;2037;406.725,482811
Total;13 años;2036;407.057,691825
Total;13 años;2035;410.089,894239
Total;13 años;2034;412.657,09939
Total;13 años;2033;427.544,259057
Total;13 años;2032;438.565,378947
Total;13 años;2031;457.899,375515
Total;13 años;2030;474.167,693249
Total;13 años;2029;480.685,469534
Total;13 años;2028;482.927,371452
Total;13 años;2027;474.080,693562
Total;13 años;2026;493.272,961202
Total;13 años;2025;505.343,003046
Total;13 años;2024;504.861,200751
Total;13 años;2023;509.321,679407
Total;13 años;2022;529.724,310097
Total;14 años;2072;422.636,611969
Total;14 años;2071;422.869,063964
Total;14 años;2070;423.814,8119
Total;14 años;2069;425.468,394998
Total;14 años;2068;427.790,589174
Total;14 años;2067;430.688,576915
Total;14 años;2066;434.051,036439
Total;14 años;2065;437.742,033428
Total;14 años;2064;441.632,442026
Total;14 años;2063;445.570,186183
Total;14 años;2062;449.403,599599
Total;14 años;2061;452.984,304431
Total;14 años;2060;456.143,603588
Total;14 años;2059;458.728,981234
Total;14 años;2058;460.649,687496
Total;14 años;2057;461.797,95608
Total;14 años;2056;462.086,249082
Total;14 años;2055;461.549,533326
Total;14 años;2054;460.239,839917
Total;14 años;2053;458.256,792159
Total;14 años;2052;455.708,006221
Total;14 años;2051;452.756,924689
Total;14 años;2050;447.959,359427
Total;14 años;2049;443.036,4942
Total;14 años;2048;438.138,390109
Total;14 años;2047;433.434,090834
Total;14 años;2046;429.052,523748
Total;14 años;2045;425.044,85813
Total;14 años;2044;421.448,512535
Total;14 años;2043;418.295,840222
Total;14 años;2042;415.597,352704
Total;14 años;2041;413.349,584036
Total;14 años;2040;411.606,156227
Total;14 años;2039;410.448,421978
Total;14 años;2038;409.936,118918
Total;14 años;2037;410.188,184386
Total;14 años;2036;413.339,029445
Total;14 años;2035;416.183,19087
Total;14 años;2034;431.363,457649
Total;14 años;2033;442.650,100769
Total;14 años;2032;462.237,825811
Total;14 años;2031;478.759,92543
Total;14 años;2030;485.603,404776
